M,K,N,It1
768,2560,768,
768,2560,1024,
768,2560,1280,
768,2560,1536,
768,2560,1792,
768,2560,2048,
768,2560,2304,
768,2560,2560,
768,2560,2816,
768,2560,3072,
768,2560,3328,
768,2560,3584,
768,2560,3840,
768,2560,4096,
768,2816,256,
768,2816,512,
768,2816,768,
768,2816,1024,
768,2816,1280,
768,2816,1536,
768,2816,1792,
768,2816,2048,
768,2816,2304,
768,2816,2560,
768,2816,2816,
768,2816,3072,
768,2816,3328,
768,2816,3584,
768,2816,3840,
768,2816,4096,
768,3072,256,
768,3072,512,
768,3072,768,
768,3072,1024,
768,3072,1280,
768,3072,1536,
768,3072,1792,
768,3072,2048,
768,3072,2304,
768,3072,2560,
768,3072,2816,
768,3072,3072,
768,3072,3328,
768,3072,3584,
768,3072,3840,
768,3072,4096,
768,3328,256,
768,3328,512,
768,3328,768,
768,3328,1024,
768,3328,1280,
768,3328,1536,
768,3328,1792,
768,3328,2048,
768,3328,2304,
768,3328,2560,
768,3328,2816,
768,3328,3072,
768,3328,3328,
768,3328,3584,
768,3328,3840,
768,3328,4096,
768,3584,256,
768,3584,512,
768,3584,768,
768,3584,1024,
768,3584,1280,
768,3584,1536,
768,3584,1792,
768,3584,2048,
768,3584,2304,
768,3584,2560,
768,3584,2816,
768,3584,3072,
768,3584,3328,
768,3584,3584,
768,3584,3840,
768,3584,4096,
768,3840,256,
768,3840,512,
768,3840,768,
768,3840,1024,
768,3840,1280,
768,3840,1536,
768,3840,1792,
768,3840,2048,
768,3840,2304,
768,3840,2560,
768,3840,2816,
768,3840,3072,
768,3840,3328,
768,3840,3584,
768,3840,3840,
768,3840,4096,
768,4096,256,
768,4096,512,
768,4096,768,
768,4096,1024,
768,4096,1280,
768,4096,1536,
768,4096,1792,
768,4096,2048,
768,4096,2304,
768,4096,2560,
768,4096,2816,
768,4096,3072,
768,4096,3328,
768,4096,3584,
768,4096,3840,
768,4096,4096,
1024,256,256,
1024,256,512,
1024,256,768,
1024,256,1024,
