M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
7296_3456_4032,101.666783232,2965.4709677419355,6246.01,5988.32,6541.00
7296_3456_4928,124.259401728,3177.9560025141423,6202.71,5976.74,6424.16
7296_3456_5824,146.852020224,3343.829882484611,6272.52,6037.83,6443.85
7296_3456_6720,169.44463872,3476.9137670196674,6272.92,6125.54,6406.59
7296_3456_7616,192.037257216,3586.055988985773,6327.98,6175.33,6431.58
7296_4992_448,16.316891136,778.3540445486518,5435.58,4389.80,6348.98
7296_4992_1344,48.950673408,1849.4038997214484,6061.24,5638.50,6434.95
7296_4992_2240,81.58445568,2551.6372021521906,6279.31,5985.65,6520.50
7296_4992_3136,114.218237952,3047.575081967213,6351.98,6106.13,6546.21
7296_4992_4032,146.852020224,3416.4802744425388,6363.21,6194.98,6523.42
7296_4992_4928,179.485802496,3701.6198682209833,6329.48,6075.20,6486.66
7296_4992_5824,212.119584768,3928.6153846153848,6368.12,6267.01,6456.92
7296_4992_6720,244.75336704,4113.605947955391,6416.61,6275.57,6483.10
7296_4992_7616,277.387149312,4267.263516068053,6461.07,6318.97,6523.15
7296_6528_448,21.337473024,792.8986301369863,5673.80,5075.52,6229.01
7296_6528_1344,64.012419072,1933.683741648107,6193.46,5585.73,6551.94
7296_6528_2240,106.68736512,2714.8968105065665,6364.98,5953.37,6545.44
7296_6528_3136,149.362311168,3283.3970826580226,6441.99,6282.46,6578.97
7296_6528_4032,192.037257216,3715.6519258202566,6442.19,6274.29,6572.12
7296_6528_4928,234.712203264,4055.39872611465,6417.39,6006.48,6519.24
7296_6528_5824,277.387149312,4329.463751438435,6448.79,6166.08,6554.59
7296_6528_6720,320.06209536,4555.215110178384,6484.80,6335.29,6558.78
7296_6528_7616,362.737041408,4744.393442622951,6503.80,6389.59,6550.44
