M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
2880_3360_3456,33.4430208,1070.4424778761063,2713,2553,2795
2880_3360_4992,48.3065856,1183.2054176072236,2741,2602,2798
2880_3360_6528,63.1701504,1253.0895795246802,2763,2657,2804
2880_4000_384,4.42368,312.3644251626898,2045,1458,2601
2880_4000_1920,22.1184,894.4099378881988,2644,2472,2763
2880_4000_3456,39.81312,1127.9373368146214,2712,2584,2778
2880_4000_4992,57.50784,1253.8513060951104,2740,2678,2786
2880_4000_6528,75.20256,1332.6075122482307,2750,2642,2790
2880_4640_384,5.1314688,315.76559546313797,2050,1484,2530
2880_4640_1920,25.657344,922.8729281767955,2599,2370,2728
2880_4640_3456,46.1832192,1173.5831381733021,2686,2570,2769
2880_4640_4992,66.7090944,1310.5129752564876,2736,2668,2787
2880_4640_6528,87.2349696,1396.7929168716182,2762,2669,2805
2880_5280_384,5.8392576,318.39195979899495,2010,1510,2406
2880_5280_1920,29.196288,945.6716417910447,2574,2359,2718
2880_5280_3456,52.5533184,1210.7006369426751,2691,2609,2749
2880_5280_4992,75.9103488,1356.9686985172982,2726,2630,2768
2880_5280_6528,99.2673792,1449.6904441453567,2754,2697,2787
2880_5920_384,6.5470464,320.4812030075188,2061,1736,2350
2880_6560_384,7.2548352,322.18281036834924,2152,1771,2503
2880_7200_384,7.962624,323.59550561797755,2099,1807,2610
2880_7840_384,8.6704128,324.7871116225547,2067,1773,2593
4160_160_384,0.2555904,109.95594713656388,243.41,141.21,1008.25
4160_160_1920,1.277952,142.62857142857143,790.52,647.72,1807.57
4160_160_3456,2.3003136,147.4983585029547,1395.27,1030.84,1824.92
4160_160_4992,3.3226752,149.46107784431138,1684.20,1067.35,1846.44
4160_160_6528,4.3450368,150.52146151117418,1485.75,1126.82,1758.77
4160_800_384,1.277952,244.22700587084148,813.42,624.30,2137.04
4160_800_1920,6.38976,497.21115537848607,2244.09,1708.72,2664.06
4160_800_3456,11.501568,561.8809404702351,2542.16,2129.53,2704.66
4160_800_4992,16.613376,591.4691943127962,2585.24,2264.48,2723.73
4160_800_6528,21.725184,608.4313163177517,2637.92,2497.58,2753.16
4160_1440_384,2.3003136,282.5660377358491,1417.11,1109.65,2322.38
4160_1440_1920,11.501568,686.9724770642201,2435.85,2206.75,2666.41
4160_1440_3456,20.7028224,816.8727272727273,2582.29,2385.39,2705.72
4160_1440_4992,29.9040768,880.9411764705883,2641.41,2461.65,2707.48
4160_1440_6528,39.1053312,919.1046931407942,2649.41,2572.30,2698.78
4160_2080_384,3.3226752,300.72289156626505,2003.40,1587.52,2442.25
4160_2080_1920,16.613376,805.1612903225806,2577.30,2138.56,2718.60
4160_2080_3456,29.9040768,989.6035242290749,2664.33,2409.58,2762.12
4160_2080_4992,43.1947776,1085.2173913043478,2700.02,2547.24,2767.57
4160_2080_6528,56.4854784,1143.7196765498652,2719.76,2597.99,2761.65
4160_2720_384,4.3450368,311.3132795304475,2366,1685,2645
